Catalogue_Number,Genus_species,Name_in_Tree,Species,Taxon_Rank,Vernacular_name,Institution,Institution_Code,Locality,Latitude,Longitude,Country,AUS_State
J53860,Cophixalus_aenigma,Cophixalus_aenigma_1,Cophixalus aenigma,species,Tapping Nursery Frog,Queensland Museum,QM,Mt Lewis,-16.583333,145.283333,Australia,Queensland
J53874,Cophixalus_aenigma,Cophixalus_aenigma_1,Cophixalus aenigma,species,Tapping Nursery Frog,Queensland Museum,QM,Mt Lewis,-16.583333,145.283333,Australia,Queensland
J53903,Cophixalus_aenigma,Cophixalus_aenigma_1,Cophixalus aenigma,species,Tapping Nursery Frog,Queensland Museum,QM,Mt Lewis,-16.583333,145.283333,Australia,Queensland
J53877,Cophixalus_aenigma,Cophixalus_aenigma_1,Cophixalus aenigma,species,Tapping Nursery Frog,Queensland Museum,QM,Mt Lewis,-16.583333,145.283333,Australia,Queensland
J53871,Cophixalus_aenigma,Cophixalus_aenigma_1,Cophixalus aenigma,species,Tapping Nursery Frog,Queensland Museum,QM,Mt Lewis,-16.582007,145.284241,Australia,Queensland
J53859,Cophixalus_aenigma,Cophixalus_aenigma_1,Cophixalus aenigma,species,Tapping Nursery Frog,Queensland Museum,QM,Mt Lewis,-16.583333,145.283333,Australia,Queensland
J53856,Cophixalus_aenigma,Cophixalus_aenigma_1,Cophixalus aenigma,species,Tapping Nursery Frog,Queensland Museum,QM,Mt Lewis,-16.583333,145.283333,Australia,Queensland
J53857,Cophixalus_aenigma,Cophixalus_aenigma_1,Cophixalus aenigma,species,Tapping Nursery Frog,Queensland Museum,QM,Mt Lewis,-16.583333,145.283333,Australia,Queensland
J53855,Cophixalus_aenigma,Cophixalus_aenigma_1,Cophixalus aenigma,species,Tapping Nursery Frog,Queensland Museum,QM,Mt Lewis,-16.583333,145.283333,Australia,Queensland
J53902,Cophixalus_aenigma,Cophixalus_aenigma_1,Cophixalus aenigma,species,Tapping Nursery Frog,Queensland Museum,QM,Mt Lewis,-16.582007,145.284241,Australia,Queensland
J53872,Cophixalus_aenigma,Cophixalus_aenigma_1,Cophixalus aenigma,species,Tapping Nursery Frog,Queensland Museum,QM,Mt Lewis,-16.583333,145.283333,Australia,Queensland
J53916,Cophixalus_aenigma,Cophixalus_aenigma_1,Cophixalus aenigma,species,Tapping Nursery Frog,Queensland Museum,QM,Mt Lewis,-16.583333,145.283333,Australia,Queensland
J41170,Cophixalus_aenigma,Cophixalus_aenigma_1,Cophixalus aenigma,species,Tapping Nursery Frog,Queensland Museum,QM,4.5-5Km W of Cape Tribulation,-16.083333,145.433333,Australia,Queensland
J39905,Cophixalus_aenigma,Cophixalus_aenigma_1,Cophixalus aenigma,species,Tapping Nursery Frog,Queensland Museum,QM,Mt Lewis Summit,-16.583333,145.283333,Australia,Queensland
J41200,Cophixalus_aenigma,Cophixalus_aenigma_1,Cophixalus aenigma,species,Tapping Nursery Frog,Queensland Museum,QM,5Km W of Cape Tribulation,-16.083333,145.433333,Australia,Queensland
J53853,Cophixalus_aenigma,Cophixalus_aenigma_1,Cophixalus aenigma,species,Tapping Nursery Frog,Queensland Museum,QM,Mt Lewis,-16.583333,145.283333,Australia,Queensland
J39899,Cophixalus_aenigma,Cophixalus_aenigma_1,Cophixalus aenigma,species,Tapping Nursery Frog,Queensland Museum,QM,"Bakers Blue Mt, 17 km W of Mt Molloy",-16.7,145.2,Australia,Queensland
J41169,Cophixalus_aenigma,Cophixalus_aenigma_1,Cophixalus aenigma,species,Tapping Nursery Frog,Queensland Museum,QM,4.5-5Km W of Cape Tribulation,-16.083333,145.433333,Australia,Queensland
J39901,Cophixalus_aenigma,Cophixalus_aenigma_1,Cophixalus aenigma,species,Tapping Nursery Frog,Queensland Museum,QM,"Thornton Peak, via Daintree",-16.165343,145.373128,Australia,Queensland
J39889,Cophixalus_aenigma,Cophixalus_aenigma_1,Cophixalus aenigma,species,Tapping Nursery Frog,Queensland Museum,QM,"Thornton Peak, via Daintree",-16.165343,145.373128,Australia,Queensland
J67114,Cophixalus_aenigma,Cophixalus_aenigma_1,Cophixalus aenigma,species,Tapping Nursery Frog,Queensland Museum,QM,"Mt Spurgeon, 4km NNE, Stewart Ck",-16.4,145.216667,Australia,Queensland
J67035,Cophixalus_aenigma,Cophixalus_aenigma_1,Cophixalus aenigma,species,Tapping Nursery Frog,Queensland Museum,QM,"Stewart Ck, 4km NNE Mt Spurgeon",-16.4,145.216667,Australia,Queensland
J66965,Cophixalus_aenigma,Cophixalus_aenigma_1,Cophixalus aenigma,species,Tapping Nursery Frog,Queensland Museum,QM,"Black Mt, 4.5km N Mt Spurgeon",-16.4,145.2,Australia,Queensland
J67100,Cophixalus_aenigma,Cophixalus_aenigma_1,Cophixalus aenigma,species,Tapping Nursery Frog,Queensland Museum,QM,"Mt Spurgeon, 7km N",-16.366667,145.216667,Australia,Queensland
J41208,Cophixalus_aenigma,Cophixalus_aenigma_1,Cophixalus aenigma,species,Tapping Nursery Frog,Queensland Museum,QM,0.5Km E of Mt Pieter-Botte,-16.066667,145.416667,Australia,Queensland
J41202,Cophixalus_aenigma,Cophixalus_aenigma_1,Cophixalus aenigma,species,Tapping Nursery Frog,Queensland Museum,QM,4.5-5Km W of Cape Tribulation,-16.083333,145.433333,Australia,Queensland
J67074,Cophixalus_aenigma,Cophixalus_aenigma_1,Cophixalus aenigma,species,Tapping Nursery Frog,Queensland Museum,QM,"Stewart Ck, 4km NNE Mt Spurgeon",-16.4,145.216667,Australia,Queensland
J41152,Cophixalus_aenigma,Cophixalus_aenigma_1,Cophixalus aenigma,species,Tapping Nursery Frog,Queensland Museum,QM,"Devils Thumb area, 10Km NW of Mossman",-16.45,145.266667,Australia,Queensland
J41203,Cophixalus_aenigma,Cophixalus_aenigma_1,Cophixalus aenigma,species,Tapping Nursery Frog,Queensland Museum,QM,4.5-5Km W of Cape Tribulation,-16.083333,145.433333,Australia,Queensland
J67124,Cophixalus_aenigma,Cophixalus_aenigma_1,Cophixalus aenigma,species,Tapping Nursery Frog,Queensland Museum,QM,"Mt Spurgeon, 7 km N",-16.365342,145.217575,Australia,Queensland
J42247,Cophixalus_aenigma,Cophixalus_aenigma_1,Cophixalus aenigma,species,Tapping Nursery Frog,Queensland Museum,QM,"Thornton Peak, 11 km NE of Daintree",-16.165343,145.373128,Australia,Queensland
